,OtherExecScore,Analyst_Word_Count,Analyst_Sent_Count,CEO_Neg_Fin,CEO_Fin_Score2,Openness_Raw,Concientiousness_Raw,Extraversion_Raw,Agreeableness_Raw,Neuroticism_Raw,marketcap,pricetobook,dividendyield,revenuegrowth,freecashflow,ebitda,CEOScore_sqrt,CEO_Word_Count_sqrt,CEO_Sent_Count_sqrt,OtherExec_Sent_Count_sqrt,CEO_Pos_Fin_sqrt,AnalystScore_pwr,OtherExec_Word_Count_pwr
2,1.152,2004.0,89.0,8.0,1.923076923,1.803711049,1.677509492,1.587895222,1.695039758,1.533590064,10846579940.997992,156000000004.5872,2046506001.001639,205.725154,30341918225.7,31972713001.0,0.3563705936241092,69.45502141674135,15.066519173319364,12.916375287812984,3.449489742783178,1.018286480575034,123.43846262202125
3,1.119,1671.0,78.0,6.0,2.090909091,1.7969641379999999,1.691372248,1.581642166,1.697081909,1.54784557,7541118924.997992,156000000003.4106,2046506001.002358,205.737606,30421436534.3,31897490001.0,0.3807886552931954,50.22947341949744,11.61895003862225,10.433981132056603,3.449489742783178,1.0157464525727298,84.11674916869205
4,1.154,4077.0,263.0,5.0,2.5,1.79661695,1.672089228,1.559624795,1.701362998,1.524433658,6974052865.997992,156000000003.1586,2046506001.00255,205.735436,30370059620.6,31860941001.0,0.3714835124201342,73.91887445030531,16.941074346097416,12.916375287812984,4.464101615137754,1.0411126463428546,104.86509290833716
5,1.111,3736.0,211.0,5.0,2.272727273,1.799276538,1.678871353,1.568786873,1.7040404690000002,1.537660016,7378274303.997992,156000000003.1604,2046506001.002411,205.725534,30551441548.1,31835320001.0,0.40987803063838396,75.49834435270749,18.138357147217054,13.489995996796797,3.6457513110645907,1.0291572809855252,110.2837176146214
6,1.1280000000000001,3800.0,206.0,10.0,2.052631579,1.80074087,1.684710591,1.568447149,1.700162233,1.530110959,7693478055.997992,156000000003.1692,2046506001.002315,205.732935,30692375725.2,31843688001.0,0.4183300132670378,84.10112960002381,17.60681686165901,6.916079783099616,4.16227766016838,1.0615549440477974,61.75742442587908
7,1.13,2025.0,104.0,1.0,3.0,1.8345171999999998,1.64567106,1.545358644,1.6831010059999998,1.507649585,102000000001.99799,156000000023.0305,2046506001.047011,205.867371,26339513982.0,41045000001.0,0.3435112807463534,56.85068161420758,10.816653826391969,10.327379053088816,3.6457513110645907,1.0256790280502077,107.66406942662387
8,1.159,1791.0,97.0,7.0,2.294117647,1.826217452,1.6328235210000002,1.5418360899999999,1.704194954,1.497148433,97997786660.99799,156000000020.6074,2046506001.047764,205.848462,26449633434.0,41508000001.0,0.38600518131237566,67.9926466612383,13.856406460551018,14.19090595827292,4.3166247903554,1.0443612699619294,124.7236508756328
9,1.153,1866.0,97.0,5.0,2.384615385,1.8276736370000002,1.646703168,1.549077558,1.708240461,1.508070013,110000000001.99799,156000000019.2948,2046506001.043517,205.824818,37147437178.0,41883000001.0,0.38987177379235854,67.66830868286867,14.45683229480096,16.13274595042156,4.0,1.0411126463428546,133.09075276914152
10,1.16,1735.0,87.0,4.0,2.684210526,1.828734032,1.654426939,1.53969234,1.698485753,1.5150128569999999,136000000001.99799,156000000021.3643,2046506001.036021,205.82626100000002,38146027401.0,42041000001.0,0.3619392214170772,62.91263784010332,13.076696830622021,11.770329614269007,5.0,1.0424924544169323,85.027031768287
11,1.1320000000000001,1416.0,71.0,4.0,2.4,1.817197127,1.65905303,1.553677187,1.711042337,1.5104505129999999,149000000001.998,156000000030.2807,2046506001.027497,205.846354,32142291622.0,41263000001.0,0.38340579025361626,57.48912940721924,12.328828005937952,10.643650760992955,3.6457513110645907,1.0557399856463452,83.39004859517297
