"Ticker","Date","predictions"
"AOS",2018-01-30,0.0011723341916739
"APC",2017-05-03,-0.0013373191625398
"APC",2017-07-25,0.0038551812094542
"APC",2017-11-01,0.00299404560951338
"A",2017-02-14,0.00271092935913987
"A",2017-05-22,0.00220864206610659
"A",2017-08-16,-0.000793866206880767
"A",2017-11-20,-0.0010958036596547
"A",2018-02-14,0.00163781745584039
"CHD",2017-02-07,9.510736841295e-05
"CHD",2017-05-04,0.00287758920870561
"CHD",2017-08-03,0.000926971028838666
"CHD",2017-11-02,0.00269662686805232
"CHD",2018-02-05,0.0013802395800305
"CHD",2018-05-03,0.00211297322560489
"COG",2017-02-24,-0.00374501249083281
"COG",2017-07-28,-0.00114452780266693
"COG",2017-10-27,-0.00149003200388147
"COG",2018-02-23,0.00558651786530098
"COG",2018-04-27,0.00131184373301743
"CORT",2017-01-30,0.00388204968956819
"CORT",2017-05-01,0.00174494262929593
"CORT",2017-08-01,0.00339895175329183
"CORT",2018-02-22,0.00393211759619781
"CORT",2018-05-08,0.00780435196052778
"FTNT",2017-02-02,-0.00267100258909565
"FTNT",2017-04-27,-0.00476769816469592
"FTNT",2017-07-26,-0.0017345669925846
"FTNT",2017-10-26,0.00118452097915132
"FTNT",2018-02-07,-0.00306178224248434
"FTNT",2018-05-03,0.000563843294005537
"LOGM",2017-05-04,0.0013749046814155
"LOGM",2017-07-27,0.00144987640201787
"LOGM",2017-10-26,0.000354626012034787
"LOGM",2018-02-15,-0.00271881264196816
"LOGM",2018-04-26,8.09312207133844e-05
"MAT",2017-01-25,0.0032300570329459
"MAT",2017-04-21,-0.000814455280446338
"MAT",2017-07-27,0.00177529567996208
"MTW",2017-02-02,0.00275563034634345
"MTW",2017-05-09,0.00122940481512138
"MTW",2017-11-07,0.00366913129921753
"MTW",2018-02-09,0.00236368539156068
"PPC",2017-02-09,-0.00128498132968499
"PPC",2017-05-04,0.00113412576277835
"PPC",2017-08-03,-0.00424649247822435
