CEO,Ticker,Sector,Quarter,Year,Date,CEOScore,AnalystScore,OtherExecScore,CEO_Word_Count,Analyst_Word_Count,OtherExec_Word_Count,CEO_Sent_Count,Analyst_Sent_Count,OtherExec_Sent_Count,CEO_Pos_Fin,CEO_Neg_Fin,CEO_Fin_Score1,CEO_Fin_Score2,Openness_Raw,Concientiousness_Raw,Extraversion_Raw,Agreeableness_Raw,Neuroticism_Raw,Openness_Percentile,Concientiousness_Percentile,Extraversion_Percentile,Agreeableness_Percentile,Neuroticism_Percentile
Shantanu Narayen,ADBE,Information Technology,Q1,2012,3/19/2012 21:00,0.155,0.118,0.169,3394,2235,1325,152,109,76,7,0,inf,1,0.802606517,0.665744557,0.573851476,0.682156293,0.536643396,0.954481397,0.790502497,0.695659288,0.065480785,0.890453232
Shantanu Narayen,ADBE,Information Technology,Q2,2012,6/19/2012 20:50,0.14,0.076,0.122,2830,2258,1440,129,96,74,1,1,1,0,0.817187103,0.663214381,0.586886546,0.681445479,0.536644572,0.984089008,0.774550759,0.789321226,0.06323133,0.890457141
Shantanu Narayen,ADBE,Information Technology,Q3,2012,9/19/2012 21:10,0.183,0.093,0.099,2537,1659,1037,102,71,46,6,0,inf,1,0.825337145,0.67186454,0.596655962,0.700744876,0.543168808,0.991845192,0.826232446,0.846845547,0.148535012,0.910638744
Shantanu Narayen,ADBE,Information Technology,Q4,2012,12/13/2012 22:10,0.187,0.11,0.125,2606,2401,1829,112,107,93,4,0,inf,1,0.81259174,0.658941253,0.582269415,0.692049581,0.537250174,0.977395534,0.746110598,0.758223613,0.103571281,0.892457904
Shantanu Narayen,ADBE,Information Technology,Q1,2013,3/19/2013 20:30,0.151,0.096,0.11,3332,1834,827,151,95,43,2,0,inf,1,0.815152691,0.680963932,0.592560878,0.683616411,0.54813551,0.981370673,0.871702535,0.824132244,0.070295663,0.924043224
Shantanu Narayen,ADBE,Information Technology,Q2,2013,6/18/2013 21:00,0.198,0.109,0.095,3147,2583,1200,144,121,75,7,0,inf,1,0.815679836,0.665106438,0.592072858,0.687234283,0.530800256,0.982110473,0.786543285,0.821289869,0.083395717,0.869766564
Shantanu Narayen,ADBE,Information Technology,Q3,2013,9/17/2013 20:40,0.167,0.137,0.096,2766,1693,1067,110,80,58,4,1,4,0.6,0.813256065,0.667584328,0.579313286,0.682481,0.545550201,0.97848986,0.801672823,0.737075072,0.066528789,0.91727047
Patricia A. Woertz,ADM,Consumer Staples,Q1,2013,5/1/2013 18:00,0.137,0.114,0.101,942,2179,2632,49,110,150,1,1,1,0,0.804481918,0.679012634,0.56659004,0.75177606,0.501344765,0.95982789,0.862723908,0.636541716,0.595191029,0.726667835
Daniel Amos,AFL,Financials,Q2,2011,7/28/2011 17:50,0.083,0.103,0.117,863,1213,3618,48,55,168,0,5,0,-1,0.807553517,0.657755551,0.532018525,0.70189819,0.508189929,0.967473946,0.737897938,0.335233766,0.155356681,0.765527005
Daniel P. Amos,AFL,Financials,Q3,2011,10/27/2011 17:20,0.107,0.087,0.116,1020,1877,2811,49,83,131,3,1,3,0.5,0.784042658,0.655600511,0.523159898,0.686525733,0.543670615,0.866177255,0.722630332,0.26630544,0.080695219,0.912068078
Daniel P. Amos,AFL,Financials,Q4,2011,2/1/2012 16:00,0.097,0.112,0.122,788,2642,4495,44,118,204,4,1,4,0.6,0.795571378,0.667019676,0.5434233,0.701101644,0.531614625,0.929164873,0.798283322,0.432532947,0.150623503,0.872801585
Daniel P. Amos,AFL,Financials,Q1,2012,4/25/2012 14:20,0.096,0.105,0.161,2381,1428,2038,108,60,86,1,11,0.090909091,-0.833333333,0.807780544,0.661710814,0.527378385,0.692889302,0.552373639,0.967987858,0.76475464,0.298232618,0.10742501,0.934221055
Daniel P. Amos,AFL,Financials,Q2,2012,7/25/2012 17:20,0.131,0.084,0.165,1437,1999,3148,84,85,138,2,4,0.5,-0.333333333,0.779429733,0.632351321,0.509158814,0.684495427,0.500508224,0.832481207,0.53673069,0.1741774,0.073322917,0.721709134
Dan Amos,AFL,Financials,Q2,2013,7/31/2013 12:31,0.113,0.137,0.13,1272,1605,4445,65,83,179,1,1,1,0,0.798023246,0.667869085,0.523044232,0.725476437,0.508683534,0.93899553,0.803369046,0.265455006,0.337012308,0.768205933
Paul L. Sagan,AKAM,Information Technology,Q2,2012,7/25/2012 20:30,0.184,0.143,0.07,4642,1862,634,213,85,26,16,5,3.2,0.523809524,0.797936378,0.644835309,0.579500576,0.702447974,0.511239013,0.938666482,0.640525109,0.738442489,0.158680206,0.781799174
Paul L. Sagan,AKAM,Information Technology,Q3,2012,10/24/2012 21:00,0.164,0.116,0.11,5496,1719,1041,248,77,50,11,9,1.222222222,0.1,0.808480805,0.641172842,0.565205136,0.695282615,0.516831692,0.969530929,0.610774365,0.624831425,0.118972904,0.809890977
F. Thomson Leighton,AKAM,Information Technology,Q4,2012,2/6/2013 20:30,0.149,0.08,0.135,1739,1641,3088,88,69,131,5,2,2.5,0.428571429,0.800610633,0.634322775,0.610386325,0.681680238,0.535494233,0.948177871,0.553484319,0.908354608,0.0639675,0.886583382
F. Thomson Leighton,AKAM,Information Technology,Q1,2013,4/24/2013 19:40,0.173,0.145,0.158,1465,1700,2503,72,85,124,5,0,inf,1,0.811663742,0.634480721,0.592436162,0.687268973,0.525759419,0.975788589,0.554822848,0.823408597,0.083529652,0.849867901
F. Thomson Leighton,AKAM,Information Technology,Q2,2013,7/24/2013 20:40,0.147,0.094,0.177,3902,1854,1409,197,88,63,5,5,1,0,0.807900054,0.635793273,0.595874507,0.679433571,0.532676119,0.968255682,0.565920572,0.842668456,0.057189918,0.876683227
F. Thomson Leighton,AKAM,Information Technology,Q3,2013,10/23/2013 20:40,0.196,0.088,0.125,1558,2325,4196,84,100,213,4,0,inf,1,0.800426499,0.664787031,0.588080684,0.69352194,0.544046207,0.947562977,0.784545252,0.796964749,0.110395891,0.913126698
