CEO,Ticker,Sector,Quarter,Year,Date,CEOScore,AnalystScore,OtherExecScore,CEO_Word_Count,Analyst_Word_Count,OtherExec_Word_Count,CEO_Sent_Count,Analyst_Sent_Count,OtherExec_Sent_Count,CEO_Pos_Fin,CEO_Neg_Fin,CEO_Fin_Score1,CEO_Fin_Score2,Openness_Raw,Concientiousness_Raw,Extraversion_Raw,Agreeableness_Raw,Neuroticism_Raw,Openness_Percentile,Concientiousness_Percentile,Extraversion_Percentile,Agreeableness_Percentile,Neuroticism_Percentile
Tom Greco,AAP,Consumer Discretionary,Q3,2016,11/15/2016 22:57,0.151,0.128,0.13,6672,3638,2290,366,230,154,13,6,2.166666667,0.368421053,0.80270778,0.665738131,0.561660723,0.706720231,0.521499602,0.954784007,0.790462846,0.594356362,0.186080971,0.83154799
Thomas R. Greco,AAP,Consumer Discretionary,Q4,2016,2/21/2017 12:41,0.158,0.176,0.16,6383,3580,1280,310,233,70,5,10,0.5,-0.333333333,0.801801809,0.660454805,0.572874203,0.697931265,0.533246386,0.952018368,0.756394467,0.687952923,0.132744354,0.878733944
Tom Greco,AAP,Consumer Discretionary,Q1,2017,5/24/2017 8:00,0.127,0.095,0.152,4824,2003,3019,227,88,142,6,7,0.857142857,-0.076923077,0.803711049,0.677509492,0.587895222,0.695039758,0.533590064,0.957695466,0.855521242,0.795788612,0.117762639,0.87995819
Tom Greco,AAP,Consumer Discretionary,Q2,2017,8/15/2017 13:20,0.145,0.087,0.119,2523,1670,1583,135,77,89,6,5,1.2,0.090909091,0.796964138,0.691372248,0.581642166,0.697081909,0.54784557,0.934888494,0.912710201,0.753814748,0.128213483,0.923305375
Thomas R. Greco,AAP,Consumer Discretionary,Q3,2017,11/14/2017 14:45,0.138,0.153,0.154,5464,4076,2295,287,262,142,12,4,3,0.5,0.79661695,0.672089228,0.559624795,0.701362998,0.524433658,0.933496441,0.827465896,0.576575802,0.152165802,0.844314348
Thomas Greco,AAP,Consumer Discretionary,Q4,2017,2/21/2018 17:14,0.168,0.125,0.111,5700,3735,2498,329,210,156,7,4,1.75,0.272727273,0.799276538,0.678871353,0.568786873,0.704040469,0.537660016,0.943590775,0.86205756,0.654854588,0.168568204,0.893796897
Tom Greco,AAP,Consumer Discretionary,Q1,2018,5/22/2018 8:00,0.175,0.194,0.128,7073,3799,939,310,205,35,10,9,1.111111111,0.052631579,0.80074087,0.684710591,0.568447149,0.700162233,0.530110959,0.948609312,0.887779953,0.652044952,0.145166087,0.867158804
Richard Gonzalez,ABBV,Health Care,Q4,2016,1/27/2017 14:30,0.118,0.116,0.13,3232,2024,2399,117,103,87,7,0,inf,1,0.8345172,0.64567106,0.545358644,0.683101006,0.507649585,0.996421472,0.647203578,0.449644857,0.068565895,0.762574871
Richard A. Gonzalez,ABBV,Health Care,Q1,2017,4/27/2017 15:33,0.149,0.16,0.159,4623,1790,3072,192,96,174,11,6,1.833333333,0.294117647,0.826217452,0.632823521,0.54183609,0.704194954,0.497148433,0.992439855,0.540750568,0.418591541,0.169548055,0.701363359
Richard A. Gonzalez,ABBV,Health Care,Q2,2017,7/28/2017 18:37,0.152,0.153,0.153,4579,1865,3426,209,96,229,9,4,2.25,0.384615385,0.827673637,0.646703168,0.549077558,0.708240461,0.508070013,0.993339965,0.655388759,0.482763479,0.19649968,0.764873608
Richard A. Gonzalez,ABBV,Health Care,Q3,2017,10/27/2017 14:11,0.131,0.156,0.16,3958,1734,1612,171,86,116,16,3,5.333333333,0.684210526,0.828734032,0.654426939,0.53969234,0.698485753,0.515012857,0.993934464,0.714137023,0.399925971,0.135761079,0.801008668
Richard Gonzalez,ABBV,Health Care,Q4,2017,1/26/2018 16:17,0.147,0.183,0.132,3305,1415,1560,152,70,93,7,3,2.333333333,0.4,0.817197127,0.65905303,0.553677187,0.711042337,0.510450513,0.984101511,0.746877785,0.523865324,0.216604774,0.77765469
Richard A. Gonzalez,ABBV,Health Care,Q1,2018,4/26/2018 14:03,0.096,0.172,0.15,4435,1810,2503,197,100,161,9,3,3,0.5,0.815603462,0.653263863,0.544442616,0.710864484,0.517450175,0.982004866,0.705599575,0.441531848,0.215294234,0.812854961
Rick Gonzalez,ABBV,Health Care,Q2,2018,7/27/2018 17:45,0.164,0.075,0.162,5219,180,2819,193,9,124,13,13,1,0,0.820667607,0.654578454,0.529612567,0.695538871,0.506806941,0.987953869,0.715240481,0.315818796,0.120259437,0.757930702
Mike Minogue,ABMD,Health Care,Q2,2016,10/27/2016 22:45,0.136,0.164,0.095,4438,1408,224,139,58,7,12,5,2.4,0.411764706,0.82004904,0.648966075,0.531312366,0.687644072,0.489609098,0.987333288,0.673077885,0.329486604,0.084988243,0.653424502
Mike Minogue,ABMD,Health Care,Q3,2016,1/26/2017 12:05,0.144,0.172,0.185,4718,1831,500,121,71,10,7,4,1.75,0.272727273,0.818166048,0.680162086,0.547563731,0.689671877,0.501287865,0.985270971,0.868063562,0.469254745,0.093205468,0.726331948
Michael R. Minogue,ABMD,Health Care,Q4,2016,5/4/2017 8:00,0.152,0.168,0.172,3927,1754,958,181,135,52,3,2,1.5,0.2,0.805148127,0.667176347,0.527918735,0.686573225,0.501735805,0.961599689,0.799227253,0.30244496,0.080874138,0.728970676
Michael Minogue,ABMD,Health Care,Q2,2017,10/28/2017 10:25,0.145,0.157,0.551,4516,1298,8,174,53,1,11,5,2.2,0.375,0.807139649,0.670321412,0.536455631,0.677807423,0.507225382,0.966519582,0.817610343,0.372184817,0.052646878,0.760243042
Michael Minogue,ABMD,Health Care,Q3,2017,2/1/2018 14:40,0.159,0.163,0.142,3108,2098,1375,122,116,54,11,4,2.75,0.466666667,0.805059099,0.664013403,0.548728367,0.690833292,0.500360238,0.961366671,0.779661159,0.479645127,0.098168771,0.720827385
Michael R. Minogue,ABMD,Health Care,Q4,2017,5/3/2018 8:00,0.149,0.179,0.164,3305,1432,38,169,103,5,4,5,0.8,-0.111111111,0.793699067,0.65342135,0.510735486,0.684791208,0.486288387,0.920871153,0.706762461,0.183408267,0.07436368,0.631442094
Michael R. Minogue,ABMD,Health Care,Q1,2018,7/26/2018 12:11,0.131,0.137,0.061,3553,1837,303,174,127,11,9,3,3,0.5,0.806101216,0.648321929,0.518532573,0.682112903,0.483445457,0.964023184,0.668079911,0.233391797,0.065341715,0.612271146
Miles White,ABT,Health Care,Q4,2016,1/25/2017 12:43,0.163,0.198,0.145,2436,2457,2448,81,138,95,7,2,3.5,0.555555556,0.838718346,0.634571156,0.583074809,0.686023617,0.504777342,0.997606541,0.55558896,0.763821232,0.078821856,0.746545342
Miles White,ABT,Health Care,Q1,2017,4/19/2017 13:46,0.185,0.121,0.17,5006,1962,1323,209,125,70,5,2,2.5,0.428571429,0.819494308,0.654858243,0.538038728,0.710246662,0.489141862,0.986753409,0.71727277,0.385680301,0.210777628,0.65036056
Miles White,ABT,Health Care,Q2,2017,7/20/2017 13:36,0.153,0.162,0.106,6018,1410,386,311,74,26,15,3,5,0.666666667,0.831794372,0.646610803,0.536490414,0.69546021,0.487371473,0.995395057,0.65465914,0.372479719,0.119863482,0.638663427
Miles White,ABT,Health Care,Q3,2017,10/18/2017 15:32,0.164,0.194,0.211,4878,1580,799,204,90,42,8,3,2.666666667,0.454545455,0.828571897,0.666806203,0.55249632,0.714731766,0.497400222,0.993846725,0.796992899,0.513319948,0.244812275,0.702911317
Miles White,ABT,Health Care,Q4,2017,1/24/2018 14:03,0.188,0.186,0.203,5548,1475,1214,200,87,71,9,10,0.9,-0.052631579,0.819119198,0.624082964,0.555190635,0.683934822,0.480406729,0.986348419,0.466100287,0.537355298,0.071380946,0.59147396
Miles White,ABT,Health Care,Q1,2018,4/18/2018 14:04,0.199,0.131,0.222,5052,1152,409,249,72,30,13,10,1.3,0.130434783,0.820203078,0.628481731,0.559442357,0.686460889,0.475772528,0.98749036,0.503684168,0.574974292,0.080451419,0.559274603
Miles White,ABT,Health Care,Q2,2018,7/18/2018 17:17,0.189,0.219,0.163,7367,1236,445,360,97,38,10,11,0.909090909,-0.047619048,0.817302605,0.66314201,0.552626168,0.69896058,0.487881892,0.984232567,0.774084596,0.5144801,0.138381449,0.642049707
Shantanu Narayen,ADBE,Information Technology,Q4,2016,12/15/2016 22:19,0.21,0.151,0.207,2542,1781,704,104,106,50,4,0,inf,1,0.823877982,0.666348152,0.599913176,0.696160362,0.541550624,0.990768735,0.794207446,0.863458615,0.123420253,0.905911844
Shantanu Narayen,ADBE,Information Technology,Q1,2017,3/16/2017 20:21,0.148,0.135,0.078,2642,1363,1270,119,62,72,1,0,inf,1,0.827160213,0.672694283,0.614555824,0.701303936,0.540027258,0.993034038,0.830759568,0.922795276,0.151816353,0.901295683
Shantanu Narayen,ADBE,Information Technology,Q2,2017,6/20/2017 20:30,0.192,0.212,0.166,3184,1720,729,116,95,33,5,0,inf,1,0.81938306,0.689510826,0.600160536,0.695538631,0.547421612,0.986634396,0.906202156,0.864667869,0.120258227,0.922216674
Shantanu Narayen,ADBE,Information Technology,Q3,2017,9/19/2017 20:24,0.187,0.159,0.18,4509,1889,926,185,94,47,11,3,3.666666667,0.571428571,0.82451548,0.658936656,0.599431454,0.686866601,0.534709502,0.991253453,0.746079016,0.86108249,0.081986013,0.88388535
Shantanu Narayen,ADBE,Information Technology,Q4,2017,12/14/2017 22:06,0.194,0.13,0.149,3221,1728,977,104,76,47,11,0,inf,1,0.833757413,0.662775433,0.600443557,0.689644517,0.534475051,0.996158007,0.771715019,0.866042431,0.093090823,0.883070505
Shantanu Narayen,ADBE,Information Technology,Q1,2018,3/15/2018 22:04,0.192,0.165,0.102,3510,1916,754,134,127,46,7,2,3.5,0.555555556,0.823168203,0.652335773,0.59018767,0.69526598,0.512349152,0.99020155,0.698703727,0.810040461,0.118889726,0.787558114
Juan Ricardo Luciano,ADM,Consumer Staples,Q4,2016,2/7/2017 14:43,0.129,0.187,0.153,4646,1646,1067,230,97,44,13,4,3.25,0.529411765,0.802790878,0.645493367,0.569310575,0.702381965,0.516498685,0.955031122,0.645787349,0.659169064,0.158278729,0.808283213
Juan Ricardo Luciano,ADM,Consumer Staples,Q1,2017,5/2/2017 9:00,0.129,0.17,0.119,4811,2805,1395,280,164,61,12,2,6,0.714285714,0.806066136,0.657844539,0.569810301,0.709317654,0.519032549,0.96393626,0.738519002,0.663266709,0.204091733,0.820307203
Juan Ricardo Luciano,ADM,Consumer Staples,Q2,2017,8/1/2017 15:21,0.15,0.174,0.091,5871,2148,591,295,134,28,17,6,2.833333333,0.47826087,0.807378214,0.650632155,0.576005596,0.70044346,0.51985411,0.967072479,0.685860155,0.712338611,0.14678571,0.824101784
Juan Ricardo Luciano,ADM,Consumer Staples,Q3,2017,10/31/2017 15:27,0.131,0.161,0.113,4552,2090,1717,233,118,79,12,2,6,0.714285714,0.801451408,0.625680766,0.564643591,0.69138426,0.516236386,0.95091305,0.479734903,0.620049505,0.100589919,0.807010983
Juan Ricardo Luciano,ADM,Consumer Staples,Q4,2017,2/6/2018 21:37,0.123,0.162,0.15,4376,2130,1429,219,134,63,9,4,2.25,0.384615385,0.800632207,0.65634776,0.56144902,0.699049921,0.512559438,0.948249539,0.727973215,0.592515856,0.138878312,0.788638897
Juan Ricardo Luciano,ADM,Consumer Staples,Q1,2018,5/1/2018 9:00,0.154,0.184,0.165,3592,2468,1778,195,155,86,8,6,1.333333333,0.142857143,0.799048251,0.657263102,0.5615444,0.694157069,0.526198178,0.94277471,0.73444746,0.593345328,0.113437267,0.851676396
Juan Ricardo Luciano,ADM,Consumer Staples,Q2,2018,7/31/2018 15:47,0.161,0.158,0.132,3705,2969,2307,185,173,96,2,4,0.5,-0.333333333,0.80851912,0.660229464,0.577854896,0.719649054,0.515087739,0.969613551,0.754877771,0.72630372,0.285284086,0.801379224
Edward Heffernan,ADS,Information Technology,Q4,2016,1/26/2017 15:25,0.158,0.186,0.157,3972,1162,655,117,61,34,6,3,2,0.333333333,0.820266874,0.670024999,0.575596645,0.695766236,0.535021702,0.987554917,0.815924061,0.709205515,0.121409105,0.884964152
Ed Heffernan,ADS,Information Technology,Q1,2017,4/20/2017 15:29,0.135,0.184,0.097,3805,1917,1663,174,129,83,9,5,1.8,0.285714286,0.813590899,0.645805263,0.559551595,0.681723278,0.51483668,0.979024231,0.648271838,0.57593338,0.064103188,0.800135218
Ed Heffernan,ADS,Information Technology,Q2,2017,7/20/2017 12:43,0.106,0.144,0.064,2657,1349,942,94,70,33,1,11,0.090909091,-0.833333333,0.816137381,0.648511292,0.571328404,0.676771101,0.510421444,0.98273214,0.669552346,0.675594758,0.04990434,0.777501049
Ed Heffernan,ADS,Information Technology,Q3,2017,10/19/2017 14:35,0.137,0.183,0.093,2316,1899,1377,127,113,74,2,2,1,0,0.814914509,0.638790384,0.539783687,0.678740454,0.505805133,0.981027957,0.591053936,0.400717008,0.055217155,0.75234582
Edward Heffernan,ADS,Information Technology,Q4,2017,1/25/2018 14:50,0.125,0.2,0.089,2952,1599,707,128,104,39,1,5,0.2,-0.666666667,0.821304859,0.650693592,0.547132425,0.703739817,0.51030986,0.988565454,0.68632739,0.465411745,0.166671703,0.776910704
Edward Heffernan,ADS,Information Technology,Q1,2018,4/19/2018 20:21,0.138,0.152,0.076,3346,2187,1606,133,131,83,6,6,1,0,0.834576511,0.63725727,0.555893959,0.675655265,0.507689486,0.99644134,0.578237375,0.543610662,0.047080042,0.762793563
Dan Amos,AFL,Financials,Q2,2016,7/29/2016 20:43,0.079,0.115,0.128,771,1227,5399,41,51,226,0,2,0,-1,0.813313878,0.696871224,0.551671186,0.701148215,0.526304908,0.978582939,0.929965647,0.505945366,0.15089756,0.852114108
Dan Amos,AFL,Financials,Q3,2016,10/28/2016 15:19,0.148,0.138,0.125,845,1680,4762,25,87,147,2,0,inf,1,0.793965218,0.633512184,0.524710985,0.687609089,0.46651172,0.922093042,0.546605654,0.277841404,0.084851409,0.493955973
Dan Amos,AFL,Financials,Q4,2016,2/1/2017 13:06,0.087,0.167,0.11,674,1764,4742,21,101,155,3,0,inf,1,0.810901174,0.656275195,0.526361495,0.691834282,0.507369652,0.974397275,0.72745662,0.29037872,0.102599573,0.76103749
Daniel Amos,AFL,Financials,Q1,2017,4/28/2017 15:03,0.139,0.156,0.115,733,1650,4195,26,105,173,1,0,inf,1,0.791162932,0.649050867,0.495877336,0.707727398,0.491815424,0.908490974,0.673733508,0.108337326,0.192944591,0.667754624
Dan Amos,AFL,Financials,Q2,2017,7/28/2017 14:59,0.147,0.138,0.136,1595,1385,3587,69,52,152,3,6,0.5,-0.333333333,0.807418909,0.653197922,0.544634855,0.697938718,0.50474777,0.967166039,0.705112038,0.443232545,0.132784594,0.746377397
Daniel P. Amos,AFL,Financials,Q3,2017,10/26/2017 17:03,0.111,0.159,0.109,1171,1496,3167,59,97,126,0,1,0,-1,0.796919658,0.673139688,0.521641741,0.667667182,0.525127227,0.934711428,0.833158195,0.255254013,0.030411154,0.847236359
Frank Thomson Leighton,AKAM,Information Technology,Q3,2016,10/25/2016 22:15,0.161,0.182,0.129,2737,3296,4280,125,249,198,8,2,4,0.6,0.81166269,0.6211309,0.578364963,0.662287607,0.529915384,0.975786715,0.441025372,0.730095667,0.022210055,0.8664124
Frank Thomson Leighton,AKAM,Information Technology,Q4,2016,2/7/2017 23:15,0.16,0.194,0.154,1995,3075,3723,98,210,170,0,1,0,-1,0.81519563,0.59815892,0.598156352,0.705236084,0.495307305,0.981431892,0.260794086,0.854657703,0.176246698,0.689934695
Frank Thomson Leighton,AKAM,Information Technology,Q1,2017,5/2/2017 16:30,0.101,0.169,0.137,2602,2650,2650,137,192,145,6,4,1.5,0.2,0.818901597,0.628385144,0.588011247,0.678902059,0.517666696,0.986108623,0.502858035,0.796524877,0.055672245,0.813885814
Tom Leighton,AKAM,Information Technology,Q2,2017,7/25/2017 22:20,0.161,0.197,0.135,4296,1971,451,180,139,24,11,8,1.375,0.157894737,0.804420128,0.658109602,0.585999723,0.682605357,0.545747636,0.959660247,0.74036442,0.783537112,0.066933579,0.917803203
Frank Thomson Leighton,AKAM,Information Technology,Q3,2017,10/24/2017 21:05,0.16,0.21,0.153,3919,3407,1380,212,253,63,9,6,1.5,0.2,0.808565617,0.612453629,0.60436147,0.681667755,0.509621935,0.969713564,0.369033413,0.884088434,0.063928188,0.773251559
Frank Thomson Leighton,AKAM,Information Technology,Q4,2017,2/6/2018 23:07,0.161,0.19,0.168,1626,2883,4526,82,203,214,3,0,inf,1,0.815884514,0.634990174,0.615863456,0.679537374,0.53726839,0.98239089,0.55913591,0.92694801,0.057490081,0.892517675
Thomson Leighton,AKAM,Information Technology,Q1,2018,4/30/2018 21:30,0.174,0.219,0.145,2697,2574,3865,111,160,153,1,1,1,0,0.820298791,0.634450524,0.582989794,0.692832848,0.514884869,0.987587107,0.55456699,0.763233754,0.107162728,0.80037436
Luke C. Kissam,ALB,Materials,Q3,2016,11/8/2016 13:47,0.148,0.197,0.142,3033,2518,2508,144,183,122,4,10,0.4,-0.428571429,0.800372088,0.653802074,0.567945326,0.709008347,0.51230321,0.947380173,0.709564892,0.647879423,0.201894056,0.787321559
Luke C. Kissam,ALB,Materials,Q4,2016,2/28/2017 13:57,0.135,0.156,0.12,1453,2101,2801,82,164,143,2,4,0.5,-0.333333333,0.783080009,0.653509366,0.574146106,0.722126166,0.519762971,0.859561044,0.707411441,0.697965883,0.306812849,0.823683353
Luke Kissam,ALB,Materials,Q1,2017,5/4/2017 9:00,0.123,0.117,0.143,2050,1905,4237,97,98,222,7,4,1.75,0.272727273,0.798200919,0.647561829,0.55787568,0.69698293,0.520823671,0.93966423,0.662143597,0.561173094,0.127692553,0.828514133
Luke Kissam,ALB,Materials,Q2,2017,8/9/2017 0:07,0.111,0.074,0.1,2408,1662,2331,122,72,112,0,6,0,-1,0.799256422,0.644099568,0.545823927,0.692626041,0.498159954,0.943519238,0.634609993,0.453774038,0.106205864,0.707559645
Luke C. Kissam,ALB,Materials,Q3,2017,11/9/2017 13:47,0.092,0.142,0.141,1576,2371,3161,80,209,175,2,1,2,0.333333333,0.792609082,0.649834062,0.568174749,0.703937575,0.518925242,0.915715357,0.679763707,0.649786055,0.167917597,0.819807808
Luke C. Kissam,ALB,Materials,Q4,2017,2/28/2018 20:19,0.104,0.155,0.086,1649,2533,3058,85,210,167,2,4,0.5,-0.333333333,0.79223459,0.674475851,0.567326675,0.712897224,0.536390084,0.913886962,0.840221525,0.642719649,0.230545115,0.889608447
Luke C. Kissam,ALB,Materials,Q1,2018,5/10/2018 9:00,0.102,0.142,0.133,1916,2279,2182,102,172,140,1,3,0.333333333,-0.5,0.794795953,0.632745443,0.557314259,0.694470182,0.496566901,0.925814855,0.540086159,0.55620834,0.114958437,0.69777425
Thomas Joseph Wilson,ALL,Financials,Q3,2016,11/3/2016 15:55,0.109,0.189,0.107,3852,1865,1985,203,122,86,9,9,1,0,0.78976419,0.671850038,0.556901805,0.723248555,0.541589356,0.901076331,0.826152647,0.552555254,0.316797915,0.906027101
Thomas Joseph Wilson,ALL,Financials,Q4,2016,2/2/2017 16:02,0.092,0.189,0.129,1056,1320,4374,50,56,132,2,3,0.666666667,-0.2,0.797414423,0.687231922,0.563134289,0.730126337,0.554361744,0.936660105,0.897755287,0.607107422,0.380691286,0.938615496
Thomas Joseph Wilson,ALL,Financials,Q1,2017,5/3/2017 9:00,0.131,0.215,0.138,2464,1721,3654,132,119,179,6,5,1.2,0.090909091,0.806609053,0.651019596,0.587086203,0.707709402,0.522916719,0.965262448,0.688801672,0.790610831,0.192820617,0.837795819
Tom Wilson,ALL,Financials,Q2,2017,8/2/2017 15:50,0.078,0.129,0.108,1883,1040,3491,86,56,144,3,8,0.375,-0.454545455,0.798781968,0.646603266,0.54291907,0.711316677,0.518315851,0.941811109,0.654599579,0.428094022,0.218635308,0.816955283
Thomas Joseph Wilson,ALL,Financials,Q3,2017,11/2/2017 16:15,0.118,0.204,0.181,2027,1257,2270,105,98,99,4,2,2,0.333333333,0.802398008,0.631735079,0.589428496,0.731334538,0.517529682,0.953853173,0.531478974,0.805389947,0.392321217,0.813233906
Tom Wilson,ALL,Financials,Q4,2017,2/8/2018 15:54,0.123,0.189,0.188,2597,1280,1960,149,83,97,9,11,0.818181818,-0.1,0.806593251,0.653568886,0.580736351,0.711589655,0.530179537,0.965224422,0.707849927,0.747372548,0.220666598,0.86741985
Thomas Joseph Wilson,ALL,Financials,Q1,2018,5/2/2018 9:00,0.137,0.171,0.184,4083,2150,2516,190,133,128,14,12,1.166666667,0.076923077,0.80837572,0.63740273,0.575123278,0.699234793,0.522241833,0.969303374,0.57945719,0.705559124,0.13991032,0.834839418
Lisa T. Su,AMD,Information Technology,Q4,2016,1/31/2017 22:43,0.214,0.184,0.191,2778,2355,1071,147,144,84,4,3,1.333333333,0.142857143,0.798027957,0.661406001,0.561857568,0.679429517,0.52660944,0.939013335,0.76274044,0.596065824,0.057178221,0.853358269
Lisa T. Su,AMD,Information Technology,Q1,2017,5/1/2017 17:00,0.158,0.162,0.194,3362,2659,1049,174,157,69,9,1,9,0.8,0.800586358,0.660421895,0.542640895,0.67117108,0.524542047,0.948097138,0.756173275,0.425648994,0.036997302,0.844773405
Dr. Lisa T. Su,AMD,Information Technology,Q2,2017,7/25/2017 23:03,0.172,0.181,0.156,3774,2602,983,204,173,63,6,4,1.5,0.2,0.810140537,0.645992202,0.559162053,0.681028187,0.503977267,0.972943415,0.649757934,0.572511268,0.061939065,0.741981078
Dr. Lisa T. Su,AMD,Information Technology,Q3,2017,10/24/2017 20:35,0.173,0.183,0.175,3863,2169,1139,230,158,70,5,5,1,0,0.802379119,0.650954793,0.564216691,0.680122933,0.508087858,0.953795919,0.688310513,0.616401803,0.0592066,0.764970905
Dr. Lisa Su,AMD,Information Technology,Q4,2017,1/30/2018 20:49,0.129,0.164,0.107,3489,1962,875,176,101,39,3,10,0.3,-0.538461538,0.824474253,0.653757783,0.571356918,0.695947257,0.507492915,0.991222794,0.709239519,0.675824533,0.122329941,0.761715114
Lisa T. Su,AMD,Information Technology,Q1,2018,4/25/2018 22:11,0.166,0.142,0.149,3601,2461,1237,181,162,99,4,2,2,0.333333333,0.813871557,0.648854169,0.550849872,0.660127198,0.502735683,0.979463447,0.672211792,0.498602902,0.019487612,0.734814605
Sean Healey,AMG,Financials,Q2,2016,8/1/2016 14:31,0.126,0.155,0.128,2000,1155,1813,98,62,83,2,2,1,0,0.82359459,0.670583155,0.563244272,0.703662723,0.519347633,0.990545818,0.819091337,0.608054709,0.166187624,0.821768533
Sean Healey,AMG,Financials,Q3,2016,10/31/2016 16:07,0.182,0.161,0.125,1487,898,2520,61,45,89,5,0,inf,1,0.826408815,0.649042316,0.619839872,0.701793191,0.506666896,0.992563953,0.673667417,0.938528996,0.154727204,0.757154107
Sean Healey,AMG,Financials,Q4,2016,1/30/2017 13:47,0.165,0.065,0.12,1901,1247,3926,74,42,132,1,3,0.333333333,-0.5,0.835106815,0.659316324,0.601212456,0.691880357,0.514093935,0.996614627,0.748680086,0.869728218,0.102806962,0.796427562
Sean M. Healey,AMG,Financials,Q1,2017,5/1/2017 20:30,0.141,0.168,0.147,1550,1595,4092,82,82,166,4,0,inf,1,0.820415778,0.639963342,0.632942977,0.692670481,0.498955425,0.987704475,0.600795103,0.96683434,0.106410961,0.712390081
Sean Healey,AMG,Financials,Q3,2017,10/30/2017 15:27,0.151,0.074,0.131,2110,1250,2771,93,53,117,1,4,0.25,-0.6,0.826233974,0.628576216,0.577616162,0.686346077,0.486128601,0.992450641,0.504492303,0.724519912,0.080021109,0.630372728
Sean Healey,AMG,Financials,Q4,2017,1/29/2018 13:36,0.225,0.114,0.14,1318,978,3638,43,60,138,8,1,8,0.777777778,0.820165836,0.644676677,0.590840576,0.701019978,0.503507226,0.987452541,0.639252545,0.813984863,0.150143721,0.739279845
Sean Healey,AMG,Financials,Q1,2018,4/30/2018 13:32,0.164,0.185,0.132,764,925,2247,44,31,92,1,0,inf,1,0.820232109,0.696690049,0.579674762,0.720362045,0.514867568,0.987519774,0.929442393,0.73971094,0.291406615,0.800288522
Jim Cracchiolo,AMP,Financials,Q4,2016,2/2/2017 15:35,0.127,0.161,0.145,2698,1861,782,101,126,33,6,7,0.857142857,-0.076923077,0.81260596,0.643128029,0.555683545,0.686942522,0.504380933,0.977419442,0.626750034,0.541740299,0.082275613,0.744289229
James Michael Cracchiolo,AMP,Financials,Q1,2017,4/26/2017 14:25,0.129,0.161,0.108,3926,2752,1207,182,178,67,11,7,1.571428571,0.222222222,0.827355742,0.640735504,0.542860818,0.71991082,0.500749507,0.993151978,0.607174056,0.427581777,0.28752477,0.723143861
James Michael Cracchiolo,AMP,Financials,Q2,2017,7/26/2017 15:01,0.151,0.172,0.065,4106,1733,197,197,99,14,15,2,7.5,0.764705882,0.814574128,0.647023333,0.572265503,0.689007673,0.505771304,0.980528891,0.657913345,0.683110768,0.090451661,0.75215604
James Cracchiolo,AMP,Financials,Q3,2017,10/25/2017 16:28,0.138,0.202,0.162,1149,2172,1804,48,152,100,1,0,inf,1,0.81265184,0.656095652,0.560332221,0.688617822,0.495114148,0.97749643,0.726176357,0.582773686,0.088863721,0.688724712
Jim Cracchiolo,AMP,Financials,Q1,2018,4/24/2018 15:54,0.2,0.183,0.212,2346,2271,1208,86,126,51,5,1,5,0.666666667,0.824878561,0.67914933,0.556832989,0.714547368,0.503430028,0.991519424,0.863366536,0.55194532,0.243357059,0.738834817
James M. Cracchiolo,AMP,Financials,Q2,2018,7/25/2018 15:33,0.153,0.176,0.16,2874,2119,1207,144,145,69,9,4,2.25,0.384615385,0.823299279,0.6513802,0.567697815,0.698886954,0.493526027,0.990308529,0.691528656,0.64581829,0.137972898,0.678699937
Gregory C. Case,AON,Financials,Q4,2016,2/10/2017 13:21,0.135,0.167,0.088,3102,3050,1840,134,178,80,7,10,0.7,-0.176470588,0.795684765,0.678174548,0.600308045,0.735951552,0.497843869,0.929644835,0.858738842,0.865385486,0.437568743,0.705629824
Gregory C. Case,AON,Financials,Q1,2017,5/9/2017 8:30,0.182,0.198,0.136,3117,2168,1555,176,159,84,8,2,4,0.6,0.799604686,0.64669753,0.578457088,0.707625543,0.482677183,0.944747717,0.655344236,0.730777725,0.192243527,0.607040832
Gregory C. Case,AON,Financials,Q2,2017,8/4/2017 11:29,0.173,0.216,0.134,1945,1542,1432,76,113,52,2,0,inf,1,0.791103011,0.650507641,0.572960534,0.72111869,0.500374002,0.908182022,0.684912301,0.688637082,0.297970277,0.720909452
Greg Case,AON,Financials,Q3,2017,10/27/2017 14:07,0.162,0.117,0.132,2428,1261,1096,113,58,56,2,1,2,0.333333333,0.81790009,0.659799882,0.59422365,0.724603192,0.498180135,0.984957578,0.751972383,0.833600251,0.329028688,0.707682652
Gregory Case,AON,Financials,Q4,2017,2/2/2018 14:59,0.16,0.217,0.194,3926,1797,2386,111,81,67,9,3,3,0.5,0.824905791,0.636483462,0.583729659,0.70138929,0.492535275,0.991539082,0.571735967,0.768319413,0.152321532,0.672378744
Gregory C. Case,AON,Financials,Q1,2018,5/4/2018 8:30,0.148,0.117,0.101,1777,1398,1021,74,85,43,3,1,3,0.5,0.817331694,0.64672943,0.586649492,0.711611571,0.50916006,0.984268547,0.655596102,0.787784038,0.22083015,0.770775915
Gregory C. Case,AON,Financials,Q2,2018,7/27/2018 16:07,0.15,0.204,0.129,2930,2077,1992,127,138,83,6,3,2,0.333333333,0.815412304,0.66108186,0.552747411,0.705365598,0.481276784,0.981738208,0.760588162,0.515563269,0.177091555,0.59745783
