Predicted_Returns,Date,Ticker,Date_notime
0.006703969,8/7/2017,CBS,8/7/2017
0.045538399,11/2/2017,CBS,11/2/2017
0.016888283,2/15/2018,CBS,2/15/2018
-0.088671582,1/26/2017,CMCSA,1/26/2017
-0.029112001,4/27/2017,CMCSA,4/27/2017
-0.081152598,7/27/2017,CMCSA,7/27/2017
0.010417638,10/26/2017,CMCSA,10/26/2017
-0.100314069,1/24/2018,CMCSA,1/24/2018
-0.00366384,7/26/2018,CMCSA,7/26/2018
0.041514805,5/4/2017,CXO,5/4/2017
0.066112049,8/3/2017,CXO,8/3/2017
0.044641975,11/1/2017,CXO,11/1/2017
0.063975067,2/21/2018,CXO,2/21/2018
-0.025912315,1/26/2017,GOOGL,1/26/2017
-0.020669048,4/27/2017,GOOGL,4/27/2017
-0.065217486,7/24/2017,GOOGL,7/24/2017
-0.061292274,2/1/2018,GOOGL,2/1/2018
-0.057451094,4/23/2018,GOOGL,4/23/2018
-0.05890706,7/23/2018,GOOGL,7/23/2018
-0.049835428,1/25/2017,T,1/25/2017
-0.015475282,4/26/2017,T,4/26/2017
-0.05811459,1/31/2018,T,1/31/2018
